year,Gini coefficient - Equivalised disposable household income,Gini coefficient - Individual taxable income,Share of top 1% - Pre-tax national income (equal-split adults),Share of top 1% - Pre-tax fiscal income (individuals) (excluding capital gains),Share below 60% median - Equivalised disposable household income,Share of top 1% - Individual net wealth
1921,NA,NA,17.8,14.2,NA,NA
1922,NA,NA,16.5,13.1,NA,NA
1923,NA,NA,17.2,13.7,NA,NA
1924,NA,NA,17.1,13.6,NA,NA
1925,NA,NA,17.4,13.8,NA,NA
1926,NA,NA,17.0,13.5,NA,NA
1927,NA,NA,16.7,13.3,NA,NA
1928,NA,NA,18.1,14.3,NA,NA
1929,NA,NA,17.2,13.7,NA,NA
1930,NA,NA,16.5,13.2,NA,NA
1931,NA,NA,16.7,13.3,NA,NA
1932,NA,NA,16.9,13.4,NA,NA
1933,NA,NA,17.1,13.5,NA,NA
1934,NA,NA,16.3,13.0,NA,NA
1935,NA,NA,16.2,12.9,NA,NA
1936,NA,NA,16.8,13.3,NA,NA
1937,NA,NA,13.0,10.4,NA,NA
1938,NA,NA,11.5,9.1,NA,NA
1939,NA,NA,12.3,9.8,NA,NA
1940,NA,NA,11.6,9.2,NA,NA
1945,NA,NA,10.8,8.6,NA,NA
1946,NA,NA,11.7,9.4,NA,NA
1947,NA,NA,12.1,9.6,NA,NA
1948,NA,NA,12.1,9.6,NA,NA
1949,NA,NA,12.5,10.0,NA,NA
1950,NA,NA,14.6,11.8,NA,NA
1951,NA,NA,12.3,9.8,NA,NA
1952,NA,NA,12.3,9.9,NA,NA
1953,NA,NA,12.3,9.9,NA,NA
1954,NA,NA,11.9,9.5,NA,NA
1955,NA,NA,10.9,8.8,NA,NA
1956,NA,NA,11.1,8.9,NA,25.4
1957,NA,NA,10.9,8.7,NA,NA
1958,NA,60.6,9.0,7.3,NA,NA
1959,NA,61.0,9.5,7.6,NA,NA
1960,NA,59.7,9.3,7.4,NA,NA
1961,NA,NA,9.2,7.3,NA,NA
1962,NA,58.2,9.1,7.3,NA,NA
1963,NA,58.1,9.2,7.3,NA,NA
1964,NA,57.7,9.4,7.4,NA,NA
1965,NA,56.3,8.4,6.7,NA,NA
1966,NA,55.6,8.2,6.6,NA,18.0
1967,NA,55.4,8.3,6.6,NA,NA
1968,NA,55.1,8.4,6.7,NA,NA
1969,NA,55.2,8.4,6.7,NA,NA
1970,NA,54.7,8.4,6.6,NA,NA
1971,NA,54.3,8.1,6.4,NA,NA
1972,NA,55.2,9.0,7.1,NA,NA
1973,NA,54.7,9.6,7.5,NA,NA
1974,NA,53.2,8.9,7.6,NA,NA
1975,NA,51.5,7.3,6.6,NA,NA
1976,NA,52.3,8.7,7.5,NA,NA
1977,NA,NA,7.0,6.1,NA,NA
1978,NA,NA,6.8,6.1,NA,NA
1979,NA,NA,6.5,5.8,NA,NA
1980,NA,NA,6.2,5.7,NA,NA
1981,NA,NA,6.1,5.5,NA,NA
1982,27.2,NA,6.2,5.5,14.0,NA
1983,NA,NA,7.0,5.7,NA,NA
1984,27.5,NA,6.9,5.6,13.0,NA
1985,NA,NA,6.6,5.5,NA,NA
1986,27.0,NA,5.8,4.9,13.0,NA
1987,NA,NA,6.4,5.5,NA,NA
1988,27.1,NA,6.6,5.4,12.0,NA
1989,NA,NA,8.1,6.6,NA,NA
1990,30.2,NA,10.0,8.2,12.0,NA
1991,NA,NA,8.7,8.0,NA,NA
1992,31.9,NA,9.3,8.4,14.0,NA
1993,NA,NA,9.9,8.8,NA,NA
1994,32.2,NA,10.2,9.0,15.0,NA
1995,NA,NA,10.3,9.0,NA,NA
1996,33.1,NA,9.8,8.9,13.0,NA
1997,NA,NA,10.5,9.2,NA,NA
1998,33.0,NA,11.7,10.2,13.0,NA
1999,NA,NA,13.2,13.4,NA,NA
2000,NA,NA,9.7,7.9,NA,NA
2001,33.8,NA,10.4,8.3,16.0,NA
2002,NA,NA,10.5,8.3,NA,NA
2003,NA,NA,11.2,8.8,NA,NA
2004,33.4,NA,11.7,9.3,21.0,NA
2005,NA,NA,10.3,8.6,NA,NA
2006,NA,NA,9.1,8.1,NA,NA
2007,32.0,NA,9.1,7.8,18.0,NA
2008,33.3,NA,9.1,8.1,18.0,NA
2009,32.9,NA,9.9,7.8,17.0,NA
2010,32.4,NA,9.5,7.4,18.0,NA
2011,35.1,NA,10.3,8.0,19.0,NA
2012,32.4,NA,11.4,8.9,16.0,NA
2013,33.4,NA,10.2,7.8,17.0,NA
2014,34.2,NA,10.4,8.1,19.0,NA
2015,35.0,NA,11.0,8.4,19.0,22.0
2016,33.6,NA,11.2,8.3,17.0,NA
2017,34.3,NA,11.8,8.7,19.0,NA
2018,34.1,NA,11.9,8.7,20.0,20.0
2019,NA,NA,11.9,8.7,NA,NA
